Date,Monthly SIP,Annual Return,Years,Total Investment,Wealth Gained,Maturity Value
19-07-2026 15:57,5000,12.0,10,600000,561695.3817597027,1161695.3817597027
19-07-2026 15:57,5000,12.0,10,600000,561695.3817597027,1161695.3817597027
19-07-2026 16:19,5000,12.0,10,600000,561695.3817597027,1161695.3817597027
